统计时间,规模以上工业增加值月度同比增长（%）
2012年1-2月,11.4
2012年3月,11.9
2012年4月,9.3
2012年5月,9.6
2012年6月,9.5
2012年7月,9.2
2012年8月,8.9
2012年9月,9.2
2012年10月,9.6
2012年11月,10.1
2012年12月,10.3
2013年1-2月,9.9
2013年3月,8.9
2013年4月,9.3
2013年5月,9.2
2013年6月,8.9
2013年7月,9.7
2013年8月,10.4
2013年9月,10.2
2013年10月,10.3
2013年11月,10
2013年12月,9.7
2014年1-2月,8.6
2014年3月,8.8
2014年4月,8.7
2014年5月,8.8
2014年6月,9.2
2014年7月,9
2014年8月,6.9
2014年9月,8
2014年10月,7.7
2014年11月,7.2
2014年12月,7.9
2015年1-2月,6.8
2015年3月,5.6
2015年4月,5.9
2015年5月,6.1
2015年6月,6.8
2015年7月,6
2015年8月,6.1
2015年9月,5.7
2015年10月,5.6
2015年11月,6.2
2015年12月,5.9
2016年1-2月,5.4
2016年3月,6.8
2016年4月,6
2016年5月,6
2016年6月,6.2
2016年7月,6
2016年8月,6.3
2016年9月,6.1
